url,name,price,series,marca,usos,pantalla,sistema_operativo,entrada_interfaz,fabricante_cpu
https://www.amazon.es/ASUS-Chromebook-Z1500CN-EJ0400-Port%C3%A1til-Graphics/dp/B08CMTT4FW/ref=sr_1_11?qid=1636389949&s=computers&sr=1-11,"ASUS Chromebook Z1500CN-EJ0400 - Portátil 15.6"" Full HD (Celeron N3350, 8GB RAM, 64GB eMMC, HD Graphics 500, Chrome OS) Plata - Teclado QWERTY español","279,00€",Z1500CN-EJ0400,ASUS,Personal,15.6 Pulgadas,Chrome OS,"Teclado, Touch Pad",Intel
https://www.amazon.es/Lenovo-IdeaPad-Ordenador-port%C3%A1til-Operativo/dp/B08TN35QQB/ref=sr_1_12?qid=1636389949&s=computers&sr=1-12,"Lenovo IdeaPad 3 - Ordenador portátil 15.6"" FullHD (Intel Celeron N4020, 8GB RAM, 256GB SSD, Intel UHD Graphics 600, Sin Sistema Operativo), Color Negro - Teclado QWERTY Español","328,70€",IdeaPad 3 15IGL05,Lenovo,Personal,15.6 Pulgadas,Sin Sistema Operativo,Teclado,Intel
https://www.amazon.es/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_computers_sr_pg1_1?ie=UTF8&adId=A046938019C9GC4JD013D&url=%2FOrdenador-port%25C3%25A1til-pulgadas-Microsoft-expansi%25C3%25B3n%2Fdp%2FB09GFT31LQ%2Fref%3Dsr_1_13_sspa%3Fqid%3D1636389949%26s%3Dcomputers%26sr%3D1-13-spons%26psc%3D1&qualifier=1636389949&id=8078146076624256&widgetName=sp_mtf_browse,"Jumper Ordenador portátil de 13,3 pulgadas, Microsoft Office 365, 4GB+64GB Laptop, Intel Celeron N3350, Portátil HD, Win 10, Wifi de doble banda, Cámara frontal HD, Apoyar la expansión de la memoria","279,99€",EZbook X3,JUMPER,Personal,13.3 Pulgadas,Windows 10 Home,Teclado,Intel
https://www.amazon.es/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_computers_sr_pg1_1?ie=UTF8&adId=A00674342V8OO6NSJBHFB&url=%2FX3-Ordenador-port%25C3%25A1til-Microsoft-Teclado%2Fdp%2FB0899T5MZ4%2Fref%3Dsr_1_14_sspa%3Fqid%3D1636389949%26s%3Dcomputers%26sr%3D1-14-spons%26psc%3D1&qualifier=1636389949&id=8078146076624256&widgetName=sp_mtf_browse,"Jumper Ordenador portátil de 13,3 Pulgadas (Microsoft Office 365, 4GB+64GB, Windows 10 Laptop, Intel Celeron N3350, 2.4G/5G WiFi, HDMI, USB 3.0, Portátil HD, Memoria ampliable)-Teclado QWERTY Español","279,99€",EZbook X3,JUMPER,Personal,13.3 Pulgadas,Windows 10 Home,Teclado,Intel
https://www.amazon.es/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_computers_sr_pg1_1?ie=UTF8&adId=A0469480SK4OEUE3NXZK&url=%2FPort%25C3%25A1tiles-Microsoft-Bluetooth-Compatible-expansi%25C3%25B3n%2Fdp%2FB09DNXDHSZ%2Fref%3Dsr_1_15_sspa%3Fqid%3D1636389949%26s%3Dcomputers%26sr%3D1-15-spons%26psc%3D1&qualifier=1636389949&id=8078146076624256&widgetName=sp_mtf_browse,"Jumper Portátiles 14 Pulgadas, Microsoft Office 365, 12GB+256GB Laptop, Intel Celeron N4020, Intel HD Graphics 600, Windows 10, Bluetooth 4.0, Compatible con expansión de Tarjeta TF de 256GB","379,99€",EZbook S5,JUMPER,Personal,14 Pulgadas,Windows 10,Teclado,Intel
https://www.amazon.es/ASUS-TUF-Gaming-F15-FX506LH-HN042/dp/B08BYQH165/ref=ice_ac_b_dpb?qid=1636389949&s=computers&sr=1-16,"ASUS TUF Gaming F15 FX506LH-HN042 - Portátil Gaming de 15.6"" FullHD 144Hz (Intel Core i5-10300H, 16GB RAM, 512GB SSD, NVIDIA GTX1650-4GB, Sin Sistema Operativo) Negro Hoguera - Teclado QWERTY español","749,00€",FX506LH-HN042,ASUS,Gaming,15.6 Pulgadas,DOS,"Mouse, Teclado, Botones",Intel
https://www.amazon.es/Acer-Aspire-Port%C3%A1til-Graphics-Windows/dp/B08F5JNB6V/ref=sr_1_17?qid=1636389949&s=computers&sr=1-17,"Acer Aspire 3 A315-23 - Ordenador Portátil 15.6” Full HD, Laptop (AMD Ryzen 5 3500U, 8GB RAM, 512GB SSD, UMA Graphics, Windows 10 Home), PC Portátil Color Plata - Teclado QWERTY Español","459,00€",A315-23,Acer,"Multimedia, Personal, Empresa",15.6 Pulgadas,Windows 10 Home,"Micrófono, Teclado, Touch Pad",AMD
https://www.amazon.es/Lenovo-IdeaPad-Ordenador-Port%C3%A1til-Teclado/dp/B08V1ZMCRK/ref=sr_1_18?qid=1636389949&s=computers&sr=1-18,"Lenovo IdeaPad 5 - Ordenador Portátil 15.6"" FullHD (AMD Ryzen 5 5500U, 16GB RAM, 512GB SSD, AMD Radeon RX Vega 7, Window 10 Home en Modo S) Gris - Teclado QWERTY Español","679,99€",IdeaPad 5 15ALC05,Lenovo,Personal,15.6 Pulgadas,Windows 10 Home,Teclado,AMD
https://www.amazon.es/Apple-MacBook-14-pulgadas-ocho-n%C3%BAcleos-catorce/dp/B09JR2H4XZ/ref=sr_1_19?qid=1636389949&s=computers&sr=1-19,"2021 Apple MacBook Pro (de&nbsp;14&nbsp;pulgadas, Chip M1 Pro de Apple con CPU de ocho&nbsp;núcleos y&nbsp;GPU de&nbsp;catorce núcleos, 16&nbsp;GB RAM, 512&nbsp;GB SSD) - Gris espacial","2.183,52€",,Apple,"Multimedia, Gaming, Business",14 Pulgadas,Mac OS,,Apple
https://www.amazon.es/CHUWI-GemiBook-Ordenador-portatil-Ultrabook/dp/B08K8ZQCTC/ref=sr_1_20?qid=1636389949&s=computers&sr=1-20,"CHUWI GemiBook Ordenador portatil 13 Pulgadas Ultrabook Windows 10 Laptop Intel Celeron J4125 hasta 2.7Ghz Laptop 8GB RAM 256GB SSD 2160*1440 2K FHD, 2.4G/5G WiFi,BT5.1,Type-C,USB 3.0,38Wh","389,00€",GemiBook,CHUWI,Gaming,13 Pulgadas,Windows 10 Home,"Micrófono, Teclado, Teclado numérico Pinyin, Botones",Intel
https://www.amazon.es/HP-Pavilion-15-eg0018ns-Ordenador-i7-1165G7/dp/B08T6G26J8/ref=sr_1_21?qid=1636389949&s=computers&sr=1-21,"HP Pavilion 15-eg0018ns - Ordenador Portátil de 15.6"" FHD (Intel Core i7-1165G7, 16GB RAM, 512GB SSD, Intel Iris Xe Graphics, Windows 10 Home) Azul - Teclado QWERTY Español","899,99€",15-eg0018ns,HP,Personal,15.6 Pulgadas,Windows 10 Home,Teclado,Intel
https://www.amazon.es/ASUS-VivoBook-K513EA-BQ684-i7-1165G7-Operativo/dp/B08WRJCSYH/ref=sr_1_22?qid=1636389949&s=computers&sr=1-22,"ASUS VivoBook 15 K513EA-BQ684 - Portátil 15.6"" FullHD (Intel Core i7-1165G7, 8GB RAM, 512GB SSD, Iris Xe Graphics, Sin Sistema Operativo) Negro Indie - Teclado QWERTY español","684,00€",K513EA-BQ684,ASUS,Personal,15.6 Pulgadas,DOS,"Teclado, Touch Pad",Intel
https://www.amazon.es/ASUS-TUF-Gaming-A17-FA706QM-HX001/dp/B08CV94WTY/ref=sr_1_23?qid=1636389949&s=computers&sr=1-23,"ASUS TUF Gaming A17 FA706QM-HX001 - Portátil Gaming de 17.3"" Full HD 144Hz (Ryzen 7 5800H, 16GB RAM, 1TB SSD, GeForce RTX 3060 6GB, Sin Sistema Operativo) Gris Eclipse - Teclado QWERTY español","1.349,00€",FA706QM-HX001,ASUS,Gaming,17.3 Pulgadas,DOS,"Mouse, Teclado, Botones",AMD
https://www.amazon.es/Lenovo-IdeaPad-Gaming-Ordenador-GTX1650-4GB/dp/B08TPG66ZC/ref=sr_1_24?qid=1636389949&s=computers&sr=1-24,"Lenovo IdeaPad Gaming 3 - Ordenador Portátil Gaming 15.6"" FullHD (Intel Core i7-10750H, 16GB RAM, 512GB SSD, NVIDIA GTX1650-4GB, Sin Sistema Operativo), Negro- Teclado QWERTY Español","898,00€",IdeaPad Gaming 3 15IMH05,Lenovo,Gaming,15.6 Pulgadas,Sin Sistema Operativo,Teclado,Intel
https://www.amazon.es/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_computers_sr_pg1_1?ie=UTF8&adId=A0522875IMV3UTRCGNC&url=%2FTECLAST-Ordenador-Port%25C3%25A1til-Ultradelgado-Bluetooth%2Fdp%2FB094MGZ4GN%2Fref%3Dsr_1_25_sspa%3Fqid%3D1636389949%26s%3Dcomputers%26sr%3D1-25-spons%26psc%3D1&qualifier=1636389949&id=8078146076624256&widgetName=sp_mtf_browse,"TECLAST TBOLT F15Pro Ordenador Portátil 15.6”12GB RAM 256GB SSD i3 CPU 3.40GHz Notebook Laptop Ultradelgado Window 10, 53580mWh Batería Grande, WiFi+ Bluetooth + USB 3.0 + Micro SD","539,99€",,TECLAST,,15.6 Pulgadas,Windows 10 Home,Teclado,Intel
https://www.amazon.es/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_computers_sr_pg1_1?ie=UTF8&adId=A05745782SH23J5S6Z2EH&url=%2FTECLAST-F15S-Ordenador-Expandible-1920%25C3%25971080%2Fdp%2FB08ZMRZMDX%2Fref%3Dsr_1_26_sspa%3Fqid%3D1636389949%26s%3Dcomputers%26sr%3D1-26-spons%26psc%3D1&qualifier=1636389949&id=8078146076624256&widgetName=sp_mtf_browse,"TECLAST F15S Ordenador Portátil 15.6” Notebook Laptop 6GB RAM 128GB ROM (Más de 1TB Expandible), FHD 1920×1080, 2.40GHz Intel Celeron J3455, Window 10, 38000mWh Batería, 5G WiFi+Bluetooth+USB 3.0","289,99€",,TECLAST,,15.6 Pulgadas,Windows 10 Home,"Teclado, Touch Pad",Intel
https://www.amazon.es/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_computers_sr_pg1_1?ie=UTF8&adId=A10299062P2ZRS00R2JHV&url=%2FCHUWI-HeroBook-Ordenador-Port%25C3%25A1til-Ultrabook%2Fdp%2FB083B8L7Q9%2Fref%3Dsr_1_27_sspa%3Fqid%3D1636389949%26s%3Dcomputers%26sr%3D1-27-spons%26psc%3D1&qualifier=1636389949&id=8078146076624256&widgetName=sp_mtf_browse,"CHUWI HeroBook Pro Ordenador Portátil Ultrabook Laptop 14.1' Intel Celeron N4020 hasta 2.8 GHz, 4K 1920*1080, Windows 10, 8G RAM 256G SSD, WiFi, USB 3.0, 38Wh","339,00€",HeroBook pro,CHUWI,,14.1 Pulgadas,Windows 10,"Teclado, Botones",Intel
https://www.amazon.es/HP-15s-eq1074ns-Ordenador-port%C3%A1til-Integrated/dp/B08PFJGJC7/ref=sr_1_28?qid=1636389949&s=computers&sr=1-28,"HP 15s-eq1074ns - Ordenador portátil de 15.6"" FullHD (Athlon 3050U, 8GB de RAM, 256GB SSD, Amd Radeon Integrated Graphics, Windows 10 ) Plata - teclado QWERTY Español","379,00€",15s-eq1074ns,HP,Personal,15.59 Pulgadas,Windows 10 Home,Teclado,AMD
https://www.amazon.es/Acer-Aspire-Port%C3%A1til-i5-1035G1-Graphics/dp/B08F5JK7VR/ref=sr_1_29?qid=1636389949&s=computers&sr=1-29,"Acer Aspire 5 A515-55 - Ordenador Portátil 15.6"" FullHD (Intel Core i5-1035G1, 8GB RAM, 256GB SSD, UMA Graphics, Windows 10 Home), Color Plata - Teclado QWERTY Español","569,99€",A515-55,Acer,"Multimedia, Personal, Empresa",15.6 Pulgadas,Windows 10 Home,Teclado,Intel
https://www.amazon.es/ASUS-F415MA-B08BQZNH86-Port%C3%A1til-Operativo/dp/B08BQZNH86/ref=sr_1_30?qid=1636389949&s=computers&sr=1-30,"ASUS F415MA - Portátil 14"" HD (Celeron N4020, 4GB RAM, 256GB SSD, UHD Graphics 600, Sin Sistema Operativo) Gris Pizarra - Teclado QWERTY español","229,00€",F415MA#B08BQZNH86,ASUS,Personal,14 Pulgadas,DOS,Teclado,Intel
https://www.amazon.es/ASUS-TUF-Dash-F15-TUF516PM-HN135/dp/B08CV9WGRD/ref=sr_1_31?qid=1636389949&s=computers&sr=1-31,"ASUS TUF Dash F15 TUF516PM-HN135 - Ordenador portátil Gaming 15.6"" FullHD 144Hz (Intel Core i7-11370H, 16GB RAM, 512GB SSD, NVIDIA RTX3060-6GB, Sin sistema operativo) Gris - Teclado QWERTY español","1.399,99€",TUF516PM-HN135,ASUS,Gaming,15.6 Pulgadas,DOS,"Micrófono, Mouse, Teclado, Botones",Intel
https://www.amazon.es/HP-Chromebook-14a-na0006ns-Ordenador-operativo/dp/B08PFJMLVG/ref=sr_1_32?qid=1636389949&s=computers&sr=1-32,"HP Chromebook 14a-na0006ns - Ordenador portátil de 14"" FullHD (Celeron N4020, 4GB de RAM, 64GB Emmc, Gráficos Intel UHD, sistema operativo Chrome OS ) Plata - teclado QWERTY Español","299,99€",14a-na0006ns,HP,Personal,14 Pulgadas,Chrome OS,Teclado,Intel
https://www.amazon.es/CHUWI-CoreBook-Ordenador-Portatil-Ultrabook/dp/B08SK63434/ref=sr_1_33?qid=1636389949&s=computers&smid=AS9E0MT5ZN0A0&sr=1-33,"CHUWI CoreBook X Ordenador Portatil Ultrabook 14 Pulgadas Laptop Windows 10 Intel Core i5-8259U MAX hasta 3,8 GHz 8GB RAM+512GB SSD 2160*1440 Wi-Fi BT4.2 Type-C PD2.0 46.2Wh","492,15€",CoreBook X,CHUWI,Gaming,14 Pulgadas,Windows 10 Home,"Teclado, Botones",Intel
https://www.amazon.es/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_computers_sr_pg2_1?ie=UTF8&adId=A10299062P2ZRS00R2JHV&url=%2FCHUWI-HeroBook-Ordenador-Port%25C3%25A1til-Ultrabook%2Fdp%2FB083B8L7Q9%2Fref%3Dsr_1_25_sspa%3Fqid%3D1636389954%26s%3Dcomputers%26sr%3D1-25-spons%26psc%3D1&qualifier=1636389954&id=8912251438409659&widgetName=sp_atf_browse,"CHUWI HeroBook Pro Ordenador Portátil Ultrabook Laptop 14.1' Intel Celeron N4020 hasta 2.8 GHz, 4K 1920*1080, Windows 10, 8G RAM 256G SSD, WiFi, USB 3.0, 38Wh","339,00€",HeroBook pro,CHUWI,,14.1 Pulgadas,Windows 10,"Teclado, Botones",Intel
https://www.amazon.es/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_computers_sr_pg2_1?ie=UTF8&adId=A09214592YROM0UQ3XCQG&url=%2FKUU-Ordenador-desbloqueo-Dactilares-retroiluminado%2Fdp%2FB0969WN21P%2Fref%3Dsr_1_26_sspa%3Fqid%3D1636389954%26s%3Dcomputers%26sr%3D1-26-spons%26psc%3D1&qualifier=1636389954&id=8912251438409659&widgetName=sp_atf_browse,"KUU Ordenador Portátil G3Pro 15.6'', Notebook AMD Ryzen 7 4800H Processor up to 4.2GHz, 16GB RAM DDR4 512GB SSD, Windows 10 Laptop con desbloqueo de Huellas Dactilares y Teclado retroiluminado, Type C","689,99€",,KUU,,15.6 Pulgadas,Windows 10,Teclado,AMD
https://www.amazon.es/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_computers_sr_pg2_1?ie=UTF8&adId=A00891921S4LQX1C2GZM&url=%2FCHUWI-CoreBook-Ordenador-Portatil-Ultrabook%2Fdp%2FB08SK63434%2Fref%3Dsr_1_27_sspa%3Fqid%3D1636389954%26s%3Dcomputers%26smid%3DAS9E0MT5ZN0A0%26sr%3D1-27-spons%26psc%3D1&qualifier=1636389954&id=8912251438409659&widgetName=sp_atf_browse,"CHUWI CoreBook X Ordenador Portatil Ultrabook 14 Pulgadas Laptop Windows 10 Intel Core i5-8259U MAX hasta 3,8 GHz 8GB RAM+512GB SSD 2160*1440 Wi-Fi BT4.2 Type-C PD2.0 46.2Wh","492,15€",CoreBook X,CHUWI,Gaming,14 Pulgadas,Windows 10 Home,"Teclado, Botones",Intel
https://www.amazon.es/ASUS-Chromebook-Flip-Z3400FT-AJ0111-Ordenador/dp/B0883BHSY5/ref=sr_1_28?qid=1636389954&s=computers&sr=1-28,"ASUS Chromebook Flip Z3400FT-AJ0111 - Ordenador portátil de 14"" FullHD (Intel Core M3-8100Y, 8GB RAM, 64GB EMMC, Intel UHD Graphics 615, Chrome OS) Plata - Teclado QWERTY Español","399,00€",Z3400FT-AJ0111,ASUS,Personal,14 Pulgadas,Chrome OS,Pantalla táctil,Intel
https://www.amazon.es/Acer-Chromebook-SP111-33-Procesador-Graphics600/dp/B089YT2VDN/ref=sr_1_29?qid=1636389954&s=computers&sr=1-29,"Acer Spin 1 SP111-33 - Ordenador Portátil Táctil 11.6"" HD, (Intel Celeron N4020, 4GB RAM, 64GB eMMc, Intel UHD Graphics 600, Windows 10 Home S), Color Negro - Teclado QWERTY Español","249,00€",Spin 1,Acer,"Multimedia, Personal",11.6 Pulgadas,Windows 10 S,Teclado,Intel
https://www.amazon.es/Apple-MacBook-16-pulgadas-diez-n%C3%BAcleos-diecis%C3%A9is-n%C3%BAcleos/dp/B09JR31B9R/ref=sr_1_30?qid=1636389954&s=computers&sr=1-30,"2021 Apple MacBook Pro (de&nbsp;16&nbsp;pulgadas, Chip M1 Pro de Apple con CPU de diez&nbsp;núcleos y&nbsp;GPU de&nbsp;dieciséis&nbsp;núcleos, 16&nbsp;GB RAM, 512&nbsp;GB SSD) - Gris espacial","2.670,40€",,Apple,"Multimedia, Gaming, Business",16 Pulgadas,Mac OS,,Apple
https://www.amazon.es/Lenovo-ThinkPad-E15-Ordenador-i5-10210U/dp/B08FCPHVTN/ref=sr_1_31?qid=1636389954&s=computers&sr=1-31,"Lenovo ThinkPad E15 - Ordenador portátil 15.6"" FullHD (Intel Core i5-10210U, 8GB RAM, 256GB SSD, Intel UHD Graphics, Windows 10 Pro), Color negro - Teclado QWERTY español","699,99€",E15-IML T CI5-10 SYST,Lenovo,Personal,1,Windows 10 Pro,Teclado,Intel
https://www.amazon.es/Lenovo-IdeaPad-Chromebook-Ordenador-Port%C3%A1til/dp/B08WRT63Z2/ref=sr_1_32?qid=1636389954&s=computers&sr=1-32,"Lenovo IdeaPad 3 Chromebook - Ordenador Portátil 14"" FullHD (Intel Celeron N4020, 4GB RAM, 64GB eMMC, Intel UHD Graphics 600, Chrome OS), Color Gris - Teclado QWERTY español","349,00€",IdeaPad 3 CB 14IGL05,Lenovo,Personal,14 Pulgadas,Chrome OS,Teclado,Intel
https://www.amazon.es/HP-15s-eq1069ns-Ordenador-port%C3%A1til-Integrated/dp/B08PFJD1ZM/ref=sr_1_33?qid=1636389954&s=computers&sr=1-33,"HP 15s-eq1069ns - Ordenador portátil de 15.6"" FullHD (Ryzen 5-4500U, 8GB de RAM, 256GB SSD, Amd Radeon Integrated Graphics, Windows 10 ) Plata - teclado QWERTY Español","499,00€",15s-eq1069ns,HP,Personal,15.59 Pulgadas,Windows 10 Home,Teclado,AMD
https://www.amazon.es/CHUWI-Ordenador-HeroBook-Plus-Ultrabook/dp/B0925JVNZ3/ref=sr_1_34?qid=1636389954&s=computers&sr=1-34,"CHUWI Ordenador Portatil HeroBook Plus 15,6' Laptop Windows 10 Ultrabook Intel Celeron J4125 hasta 2,7GHz 8G RAM+256G SSD Notebook IPS1920 x 1080 USB 3.0 Mini HD","389,00€",HeroBook Plus,CHUWI,,15.6 Pulgadas,Windows 10,Teclado numérico,Intel
https://www.amazon.es/Dvd-Portatil-Nevir-Nvr-2790Dvd-Pcu-Negro/dp/B073TBPSX8/ref=sr_1_35?qid=1636389954&s=computers&sr=1-35,Nevir NVR2790DVDPCU DVD,"35,89€",,,,,,,
https://www.amazon.es/Lenovo-V14-IGL-Ordenador-Port%C3%A1til/dp/B098V4QNJT/ref=sr_1_36?qid=1636389954&s=computers&sr=1-36,"Lenovo V14 IGL - Ordenador Portátil 14"" FullHD (Celeron N4020, 4GB RAM, 128GB SSD, Intel UHD Graphics Win10 Pro for EDU), Gris - Teclado QWERTY español","299,99€",,Lenovo,,14 Pulgadas,Windows 10 Pro,Teclado,Intel
https://www.amazon.es/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_computers_sr_pg2_1?ie=UTF8&adId=A046938019C9GC4JD013D&url=%2FOrdenador-port%25C3%25A1til-pulgadas-Microsoft-expansi%25C3%25B3n%2Fdp%2FB09GFT31LQ%2Fref%3Dsr_1_37_sspa%3Fqid%3D1636389954%26s%3Dcomputers%26sr%3D1-37-spons%26psc%3D1&qualifier=1636389954&id=8912251438409659&widgetName=sp_mtf_browse,"Jumper Ordenador portátil de 13,3 pulgadas, Microsoft Office 365, 4GB+64GB Laptop, Intel Celeron N3350, Portátil HD, Win 10, Wifi de doble banda, Cámara frontal HD, Apoyar la expansión de la memoria","279,99€",EZbook X3,JUMPER,Personal,13.3 Pulgadas,Windows 10 Home,Teclado,Intel
https://www.amazon.es/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_computers_sr_pg2_1?ie=UTF8&adId=A00674342V8OO6NSJBHFB&url=%2FX3-Ordenador-port%25C3%25A1til-Microsoft-Teclado%2Fdp%2FB0899T5MZ4%2Fref%3Dsr_1_38_sspa%3Fqid%3D1636389954%26s%3Dcomputers%26sr%3D1-38-spons%26psc%3D1&qualifier=1636389954&id=8912251438409659&widgetName=sp_mtf_browse,"Jumper Ordenador portátil de 13,3 Pulgadas (Microsoft Office 365, 4GB+64GB, Windows 10 Laptop, Intel Celeron N3350, 2.4G/5G WiFi, HDMI, USB 3.0, Portátil HD, Memoria ampliable)-Teclado QWERTY Español","279,99€",EZbook X3,JUMPER,Personal,13.3 Pulgadas,Windows 10 Home,Teclado,Intel
